date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated
2020-07-15,17177.0,116.0,39.0,1.0,5090.0,298829.0,0.023,42.8,,,
2020-07-16,17344.0,167.0,39.0,0.0,4981.0,303810.0,0.025,40.2,,,
2020-07-17,17445.0,101.0,40.0,1.0,4688.0,308498.0,0.024,40.9,,,
2020-07-18,17502.0,57.0,40.0,0.0,3331.0,311829.0,0.024,41.2,,,
2020-07-19,17658.0,156.0,40.0,0.0,3741.0,315570.0,0.027,37.4,,,
2020-07-20,17844.0,186.0,40.0,0.0,4302.0,319872.0,0.029,34.0,,,
2020-07-21,17994.0,150.0,40.0,0.0,3544.0,323416.0,0.031,31.8,,,
2020-07-22,18094.0,100.0,42.0,2.0,4198.0,327614.0,0.032,31.4,,,
2020-07-23,18241.0,147.0,43.0,1.0,3481.0,331095.0,0.033,30.4,,,
2020-07-24,18374.0,133.0,44.0,1.0,3987.0,335082.0,0.035,28.6,,,
2020-07-25,18483.0,109.0,45.0,1.0,4075.0,339157.0,0.036,27.9,,,
2020-07-26,18613.0,130.0,45.0,0.0,3300.0,342457.0,0.036,28.2,,,
2020-07-27,18752.0,139.0,48.0,3.0,4818.0,347275.0,0.033,30.2,,,
2020-07-28,19063.0,311.0,49.0,1.0,5032.0,352307.0,0.037,27.0,,,
2020-07-29,19273.0,210.0,49.0,0.0,6037.0,358344.0,0.038,26.1,,,
2020-07-30,19547.0,274.0,52.0,3.0,6304.0,364648.0,0.039,25.7,,,
2020-07-31,19771.0,224.0,56.0,4.0,10768.0,375416.0,0.035,28.9,,,
2020-08-01,20086.0,315.0,56.0,0.0,6993.0,382409.0,0.037,27.0,,,
2020-08-02,20332.0,246.0,57.0,1.0,8861.0,391270.0,0.035,28.4,,,
2020-08-03,20750.0,418.0,57.0,0.0,7637.0,398907.0,0.039,25.8,,,
2020-08-04,21009.0,259.0,58.0,1.0,7687.0,406594.0,0.036,27.9,,,
2020-08-05,21390.0,381.0,60.0,2.0,6359.0,412953.0,0.039,25.8,,,
2020-08-06,21750.0,360.0,65.0,5.0,6622.0,419575.0,0.04,24.9,,,
2020-08-07,22214.0,464.0,70.0,5.0,7926.0,427501.0,0.047,21.3,,,
2020-08-08,22592.0,378.0,73.0,3.0,7788.0,435289.0,0.047,21.1,,,
2020-08-09,22972.0,380.0,75.0,2.0,8515.0,443804.0,0.05,19.9,,,
2020-08-10,23310.0,338.0,79.0,4.0,8432.0,452236.0,0.048,20.8,,,
2020-08-11,23948.0,638.0,83.0,4.0,10462.0,462698.0,0.052,19.1,,,
2020-08-12,24432.0,484.0,91.0,8.0,10481.0,473179.0,0.051,19.8,,,
2020-08-13,24957.0,525.0,95.0,4.0,9859.0,483038.0,0.051,19.8,,,
2020-08-14,25551.0,594.0,99.0,4.0,11575.0,494613.0,0.05,20.1,,,
2020-08-15,26019.0,468.0,102.0,3.0,11047.0,505660.0,0.049,20.5,,,
2020-08-16,26660.0,641.0,104.0,2.0,12247.0,517907.0,0.05,20.1,,,
2020-08-17,27241.0,581.0,107.0,3.0,11520.0,529427.0,0.051,19.6,,,
2020-08-18,28257.0,1016.0,114.0,7.0,13439.0,542866.0,0.054,18.6,,,
2020-08-19,28938.0,681.0,120.0,6.0,11522.0,554388.0,0.055,18.0,,,
2020-08-20,29645.0,707.0,126.0,6.0,11832.0,566220.0,0.056,17.7,,,
2020-08-21,30483.0,838.0,137.0,11.0,13679.0,579899.0,0.058,17.3,,,
2020-08-22,31117.0,634.0,146.0,9.0,12519.0,592418.0,0.059,17.0,,,
2020-08-23,31935.0,818.0,149.0,3.0,8026.0,600444.0,0.064,15.6,,,
2020-08-24,32678.0,743.0,157.0,8.0,10234.0,610678.0,0.067,14.9,,,
2020-08-25,33533.0,855.0,164.0,7.0,11321.0,621999.0,0.067,15.0,,,
2020-08-26,34418.0,885.0,175.0,11.0,13253.0,635252.0,0.068,14.8,,,
2020-08-27,35529.0,1111.0,183.0,8.0,12629.0,647881.0,0.072,13.9,,,
2020-08-28,36456.0,927.0,195.0,12.0,10229.0,658110.0,0.076,13.1,,,
2020-08-29,37340.0,884.0,207.0,12.0,11516.0,669626.0,0.081,12.4,,,
2020-08-30,38561.0,1221.0,221.0,14.0,12717.0,682343.0,0.081,12.4,,,
2020-08-31,39460.0,899.0,228.0,7.0,11129.0,693472.0,0.082,12.2,,,
2020-09-01,40529.0,1069.0,239.0,11.0,12088.0,705560.0,0.084,11.9,,,
2020-09-02,41649.0,1120.0,251.0,12.0,12879.0,718439.0,0.087,11.5,,,
2020-09-03,42877.0,1228.0,257.0,6.0,13413.0,731852.0,0.088,11.4,,,
2020-09-04,44236.0,1359.0,271.0,14.0,13638.0,745490.0,0.089,11.2,,,
2020-09-05,45277.0,1041.0,280.0,9.0,12473.0,757963.0,0.09,11.1,,,
2020-09-06,46257.0,980.0,289.0,9.0,10382.0,768345.0,0.089,11.2,,,
2020-09-07,47236.0,979.0,300.0,11.0,9218.0,777563.0,0.092,10.8,,,
2020-09-08,48138.0,902.0,306.0,6.0,10611.0,788174.0,0.092,10.9,,,
2020-09-09,49219.0,1081.0,312.0,6.0,11167.0,799341.0,0.094,10.7,,,
2020-09-10,50465.0,1246.0,317.0,5.0,11144.0,810485.0,0.097,10.4,,,
2020-09-11,51919.0,1454.0,322.0,5.0,10701.0,821186.0,0.101,9.9,,,
2020-09-12,53120.0,1201.0,336.0,14.0,10176.0,831362.0,0.107,9.4,,,
2020-09-13,54159.0,1039.0,345.0,9.0,9165.0,840527.0,0.109,9.1,,,
2020-09-14,55329.0,1170.0,360.0,15.0,10878.0,851405.0,0.11,9.1,,,
2020-09-15,56788.0,1459.0,371.0,11.0,10375.0,861780.0,0.118,8.5,,,
2020-09-16,58327.0,1539.0,379.0,8.0,10494.0,872274.0,0.125,8.0,,,
2020-09-17,59573.0,1246.0,383.0,4.0,10641.0,882915.0,0.126,8.0,,,
2020-09-18,61593.0,2020.0,390.0,7.0,11458.0,894373.0,0.132,7.6,,,
2020-09-19,62797.0,1204.0,401.0,11.0,10333.0,904706.0,0.132,7.6,,,
2020-09-20,64122.0,1325.0,411.0,10.0,9584.0,914290.0,0.135,7.4,,,
2020-09-21,65276.0,1154.0,427.0,16.0,9533.0,923823.0,0.137,7.3,,,
2020-09-22,66632.0,1356.0,429.0,2.0,11154.0,934977.0,0.134,7.4,,,
2020-09-23,67804.0,1172.0,436.0,7.0,9497.0,944474.0,0.131,7.6,,,
2020-09-24,69301.0,1497.0,453.0,17.0,11449.0,955923.0,0.133,7.5,,,
2020-09-25,70614.0,1313.0,459.0,6.0,12262.0,968185.0,0.122,8.2,,,
2020-09-26,71821.0,1207.0,467.0,8.0,10019.0,978204.0,0.123,8.1,,,
2020-09-27,73394.0,1573.0,477.0,10.0,10123.0,988327.0,0.125,8.0,,,
2020-09-28,74745.0,1351.0,481.0,4.0,10080.0,998407.0,0.127,7.9,,,
2020-09-29,76258.0,1513.0,491.0,10.0,10891.0,1009298.0,0.13,7.7,,,
2020-09-30,77817.0,1559.0,498.0,7.0,12205.0,1021503.0,0.13,7.7,,,
2020-10-01,79728.0,1911.0,509.0,11.0,12444.0,1033947.0,0.134,7.5,,,
2020-10-02,82450.0,2722.0,520.0,11.0,14739.0,1048686.0,0.147,6.8,,,
2020-10-03,84570.0,2120.0,528.0,8.0,12978.0,1061664.0,0.153,6.5,,,
2020-10-04,86823.0,2253.0,535.0,7.0,12784.0,1074448.0,0.156,6.4,,,
2020-10-05,89263.0,2440.0,554.0,19.0,13781.0,1088229.0,0.162,6.2,,,
2020-10-06,90814.0,1551.0,563.0,9.0,11047.0,1099276.0,0.162,6.2,,,
2020-10-07,94253.0,3439.0,578.0,15.0,14209.0,1113485.0,0.179,5.6,,,
2020-10-08,98617.0,4364.0,590.0,12.0,18473.0,1131958.0,0.193,5.2,,,
2020-10-09,100676.0,2059.0,600.0,10.0,13279.0,1145237.0,0.189,5.3,,,
2020-10-10,105684.0,5008.0,614.0,14.0,19320.0,1164557.0,0.205,4.9,,,
2020-10-11,107755.0,2071.0,636.0,22.0,12427.0,1176984.0,0.204,4.9,,,
2020-10-12,111802.0,4047.0,645.0,9.0,14530.0,1191514.0,0.218,4.6,,,
2020-10-13,115358.0,3556.0,663.0,18.0,15577.0,1207091.0,0.228,4.4,,,
2020-10-14,117996.0,2638.0,675.0,12.0,13947.0,1221038.0,0.221,4.5,,,
2020-10-15,121745.0,3749.0,694.0,19.0,16598.0,1237636.0,0.219,4.6,,,
2020-10-16,126137.0,4392.0,715.0,21.0,16531.0,1254167.0,0.234,4.3,,,
2020-10-17,129304.0,3167.0,727.0,12.0,15438.0,1269605.0,0.225,4.4,,,
2020-10-18,132246.0,2942.0,739.0,12.0,13749.0,1283354.0,0.23,4.3,,,
2020-10-19,136036.0,3790.0,757.0,18.0,17564.0,1300918.0,0.222,4.5,,,
2020-10-20,139129.0,3093.0,765.0,8.0,13861.0,1314779.0,0.221,4.5,,,
2020-10-21,144872.0,5743.0,791.0,26.0,20118.0,1334897.0,0.236,4.2,,,
2020-10-22,148509.0,3637.0,812.0,21.0,15255.0,1350152.0,0.238,4.2,,,
2020-10-23,153008.0,4499.0,829.0,17.0,16864.0,1367016.0,0.238,4.2,,,
2020-10-24,155233.0,2225.0,842.0,13.0,13846.0,1380862.0,0.233,4.3,,,
2020-10-25,158089.0,2856.0,847.0,5.0,12311.0,1393173.0,0.235,4.2,,,
2020-10-26,159830.0,1741.0,862.0,15.0,5006.0,1398179.0,0.245,4.1,,,
2020-10-27,160400.0,570.0,876.0,14.0,2515.0,1400694.0,0.248,4.0,,,
2020-10-28,162354.0,1954.0,887.0,11.0,8601.0,1409295.0,0.235,4.3,,,
2020-10-29,164718.0,2364.0,904.0,17.0,9769.0,1419064.0,0.235,4.3,,,
2020-10-30,168235.0,3517.0,920.0,16.0,14989.0,1434053.0,0.227,4.4,,,
2020-10-31,170743.0,2508.0,937.0,17.0,9290.0,1443343.0,0.248,4.0,,,
2020-11-01,173567.0,2824.0,960.0,23.0,13023.0,1456366.0,0.245,4.1,,,
2020-11-02,176500.0,2933.0,984.0,24.0,13446.0,1469812.0,0.233,4.3,,,
2020-11-03,179614.0,3114.0,1004.0,20.0,11166.0,1480978.0,0.239,4.2,,,
2020-11-04,182923.0,3309.0,1034.0,30.0,13144.0,1494122.0,0.242,4.1,,,
2020-11-05,185974.0,3051.0,1052.0,18.0,13068.0,1507190.0,0.241,4.1,,,
2020-11-06,188883.0,2909.0,1070.0,18.0,10153.0,1517343.0,0.248,4.0,,,
2020-11-07,191636.0,2753.0,1087.0,17.0,10423.0,1527766.0,0.247,4.0,,,
2020-11-08,194453.0,2817.0,1108.0,21.0,12311.0,1540077.0,0.249,4.0,,,
2020-11-09,197024.0,2571.0,1126.0,18.0,11177.0,1551254.0,0.252,4.0,,,
2020-11-10,199760.0,2736.0,1148.0,22.0,12960.0,1564214.0,0.242,4.1,,,
2020-11-11,202329.0,2569.0,1174.0,26.0,10081.0,1574295.0,0.242,4.1,,,
2020-11-12,204242.0,1913.0,1189.0,15.0,10022.0,1584317.0,0.237,4.2,,,
2020-11-13,206353.0,2111.0,1202.0,13.0,9533.0,1593850.0,0.228,4.4,,,
2020-11-14,208299.0,1946.0,1215.0,13.0,8753.0,1602603.0,0.223,4.5,,,
2020-11-15,209776.0,1477.0,1221.0,6.0,6476.0,1609079.0,0.222,4.5,,,
2020-11-16,210973.0,1197.0,1230.0,9.0,4832.0,1613911.0,0.223,4.5,,,
2020-11-17,211475.0,502.0,1247.0,17.0,3112.0,1617023.0,0.222,4.5,,,
2020-11-18,212917.0,1442.0,1259.0,12.0,6731.0,1623754.0,0.214,4.7,,,
2020-11-19,215020.0,2103.0,1276.0,17.0,9805.0,1633559.0,0.219,4.6,,,
2020-11-20,216965.0,1945.0,1298.0,22.0,10340.0,1643899.0,0.212,4.7,,,
2020-11-21,218639.0,1674.0,1305.0,7.0,8144.0,1652043.0,0.209,4.8,,,
2020-11-22,220308.0,1669.0,1321.0,16.0,8032.0,1660075.0,0.207,4.8,,,
2020-11-23,222288.0,1980.0,1337.0,16.0,10381.0,1670456.0,0.2,5.0,,,
2020-11-24,224078.0,1790.0,1361.0,24.0,10843.0,1681299.0,0.196,5.1,,,
2020-11-25,226026.0,1948.0,1389.0,28.0,9210.0,1690509.0,0.196,5.1,,,
2020-11-26,227640.0,1614.0,1412.0,23.0,9491.0,1700000.0,0.19,5.3,,,
2020-11-27,229343.0,1703.0,1435.0,23.0,10460.0,1710460.0,0.186,5.4,,,
2020-11-28,230723.0,1380.0,1454.0,19.0,9368.0,1719828.0,0.178,5.6,,,
2020-11-29,231978.0,1255.0,1479.0,25.0,8008.0,1727836.0,0.172,5.8,,,
2020-11-30,233452.0,1474.0,1508.0,29.0,9911.0,1737747.0,0.166,6.0,,,
2020-12-01,233452.0,0.0,1529.0,21.0,8583.0,1746330.0,0.144,6.9,,,
2020-12-02,236246.0,2794.0,1538.0,9.0,8300.0,1754630.0,0.159,6.3,,,
2020-12-03,237589.0,1343.0,1551.0,13.0,9289.0,1763919.0,0.156,6.4,,,
2020-12-04,238861.0,1272.0,1567.0,16.0,8031.0,1771950.0,0.155,6.5,,,
2020-12-05,239885.0,1024.0,1577.0,10.0,6074.0,1778024.0,0.157,6.4,,,
2020-12-06,240981.0,1096.0,1594.0,17.0,6495.0,1784519.0,0.159,6.3,,,
2020-12-07,241995.0,1014.0,1614.0,20.0,6220.0,1790739.0,0.161,6.2,,,
2020-12-08,243377.0,1382.0,1637.0,23.0,8947.0,1799686.0,0.186,5.4,,,
2020-12-09,244433.0,1056.0,1651.0,14.0,6286.0,1805972.0,0.159,6.3,,,
2020-12-10,245650.0,1217.0,1663.0,12.0,7232.0,1813204.0,0.164,6.1,,,
2020-12-11,246694.0,1044.0,1674.0,11.0,7414.0,1820618.0,0.161,6.2,,,
2020-12-12,247593.0,899.0,1689.0,15.0,5242.0,1825860.0,0.161,6.2,,,
2020-12-13,248423.0,830.0,1698.0,9.0,5181.0,1831041.0,0.16,6.3,,,
2020-12-14,249244.0,821.0,1716.0,18.0,5423.0,1836464.0,0.159,6.3,,,
2020-12-15,250180.0,936.0,1730.0,14.0,7117.0,1843581.0,0.155,6.5,,,
2020-12-16,250916.0,736.0,1743.0,13.0,5555.0,1849136.0,0.15,6.7,,,
2020-12-17,251692.0,776.0,1749.0,6.0,6588.0,1855724.0,0.142,7.0,,,
2020-12-18,252474.0,782.0,1765.0,16.0,5706.0,1861430.0,0.142,7.1,,,
2020-12-19,253184.0,710.0,1777.0,12.0,4780.0,1866210.0,0.139,7.2,,,
2020-12-20,253772.0,588.0,1788.0,11.0,4620.0,1870830.0,0.134,7.4,,,
2020-12-21,254514.0,742.0,1795.0,7.0,,,0.128,7.8,,,
2020-12-22,255236.0,722.0,1798.0,3.0,,1884181.0,0.125,8.0,,,
